UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
B2TJE9,0.994946,0.16
B2TUS3,0.9983,0.67
B2TWE0,0.999175,0.94
B2U2Q6,0.998699,0.35
B2U820,0.980122,0.61
B2UBU5,0.999762,0.11
B2UX29,0.969685,0.61
B2V515,0.993945,0.17
B3E099,0.999702,0.11
B3EBB7,0.999786,0.12
B3EEA0,0.999334,0.1
B3EIM7,0.99511,0.79
B3EKE9,0.999578,0.12
B3PC77,0.998553,0.26
B3PIU1,0.997003,0.68
B3PLZ2,0.999806,0.75
B3QM18,0.999262,0.47
B3R883,0.996698,0.46
B3SGL0,0.994838,0.7
B3WDV9,0.996553,0.65
B4EE21,0.99993,0.03
B4R8U3,0.999098,0.12
B4RW28,0.999736,0.2
B4S3B3,0.999739,0.11
B4SAT7,0.999704,0.16
B4SUR0,0.999719,0.31
B4SYB1,0.997334,0.99
B4T0V5,0.999901,0.89
B4TAV2,0.997948,1
B4TCP6,0.999901,0.89
B4TJX9,0.999696,0.31
B4TN10,0.997372,0.98
B4TQG7,0.999894,0.89
B4TXB2,0.999781,0.31
B5BGV5,0.999517,0.31
B5BIL8,0.99716,0.98
B5BJM5,0.999889,0.89
B5E3Y2,0.999818,1
B5EYX5,0.99716,0.98
B5F7R5,0.999701,0.31
B5FEY0,0.998606,0.15
B5FJI4,0.999723,0.31
B5FN13,0.997372,0.96
B5QUQ4,0.997119,0.99
B5R1E5,0.999579,0.31
B5RFY3,0.997119,0.99
B5RH47,0.999579,0.31
B5XKV0,0.999545,0.99
B5XNC2,0.998733,0.25
B5XZP5,0.999232,0.59
B5YT08,0.999345,0.35
B5YXA9,0.9983,0.67
B5ZBR5,0.999074,0.98
B6EH98,0.998183,0.15
B6I202,0.999201,0.35
B6I3T8,0.9983,0.67
B7GGQ4,0.998713,0.93
B7H0U3,0.999846,0.26
B7H703,0.998011,0.9
B7HSI4,0.999644,0.91
B7I4D5,0.999846,0.26
B7IK47,0.99853,0.92
B7JS23,0.999629,0.9
B7K722,0.999989,0.3
B7L849,0.9983,0.67
B7LHZ0,0.999201,0.35
B7LK48,0.998296,0.67
B7LRQ5,0.999376,0.36
B7M0Z4,0.999201,0.35
B7M558,0.9983,0.67
B7MCQ4,0.999506,0.36
B7MGC7,0.9983,0.67
B7N0S9,0.999221,0.36
B7N210,0.9983,0.67
B7NDR0,0.999209,0.37
B7NF23,0.9983,0.67
B7NLK8,0.999442,0.36
B7NR08,0.9983,0.67
B7UK12,0.999017,0.36
B7UMH2,0.9983,0.67
B7V7A5,0.960328,0.71
B7VGH7,0.999645,1
B8CH68,0.995206,0.99
B8D0L5,0.999563,0.93
B8DHE9,0.999778,0.45
B8EPG5,0.99324,0.62
B8FDS1,0.999301,0.14
B8GPM6,0.881139,0.54
B8IMM9,0.997896,0.59
B8JDK5,0.998941,0.4
B8ZNS6,0.999771,1
B9DU51,0.999718,1
B9DZV9,0.960396,0.49
B9E7C5,0.998432,1
B9J151,0.999644,0.91
B9K0G2,0.999185,0.04
C0M8U4,0.999146,1
C0MGK8,0.99955,1
C0PZV1,0.999753,0.31
C0Q2L3,0.99716,0.98
C0QQ02,0.998766,0.22
C0ZH32,0.998748,0.6
C0ZSW0,0.999506,0.17
C1API8,0.997726,0.08
C1AV76,0.999189,0.17
C1C6L4,0.999837,1
C1CDN0,0.999771,1
C1CJW9,0.999771,1
C1CS14,0.999818,1
C1CTN0,0.980321,0.5
C1EUZ5,0.999629,0.9
C1KVN9,0.999746,0.48
C3L9V4,0.999629,0.9
C3LP77,0.993307,0.99
C3MF49,0.997712,0.5
C3MXI0,0.999539,0.52
C3MZC6,0.999542,0.52
C3PBB3,0.999629,0.9
C3VEQ1,0.997395,0.41
C3VEQ2,0.997511,0.5
C4KIK6,0.999631,0.52
C4Y631,0.999935,1
C4ZUE3,0.999138,0.35
C4ZYY3,0.998078,0.67
C5BES4,0.999907,0.14
C5BK13,0.999821,0.94
C5BKL7,0.990516,0.99
C5FTN0,0.999516,0.55
C6BYZ2,0.999916,0.35
C6C0J6,0.997449,0.61
C6DK50,0.999666,0.23
C6DYB7,0.999646,0.16
C7YJ02,0.999207,0.72
D0K261,0.999905,0.54
D4D446,0.999761,0.64
D5ARY9,0.999026,0.99
D7ALP6,0.999863,0.34
F1LTR1,0.99702,0.87
F1MDB2,0.985956,1
F2K081,0.985397,0.56
G1SV32,0.971706,0.98
H6LC28,0.999171,0.96
H6LC29,0.9999,1
I1S0A8,0.999401,0.98
J4UHQ8,0.99602,0.66
J9VPD8,0.999903,0.6
M1VVW5,0.999947,0.84
M1WEN5,0.998034,0.58
O01884,0.994203,0.79
O05268,0.996583,1
O05544,0.996333,0.99
O06844,0.997548,0.65
O06900,0.999846,0.97
O07497,0.999653,0.97
O21280,0.999448,1
O24357,0.999636,0.74
O24958,0.999909,0.52
O25021,0.994595,0.6
O25989,0.999877,1
O26800,0.999207,0.93
O27112,0.999754,0.71
O27600,0.94396,0.95
O29382,0.999202,0.45
O29749,0.99939,1
O31216,0.992985,0.68
O31475,0.996007,0.58
O34475,0.996263,0.83
O42932,0.983647,0.98
O43006,0.999383,0.51
O43092,0.999491,0.79
O48902,0.999785,0.66
O52760,0.997864,1
O54569,0.993392,0.68
O66103,0.959474,0.58
O74379,0.997002,0.49
O81360,0.995901,0.36
O83570,0.998433,0.43
O84101,0.999892,0.98
O84253,0.999647,0.44
O87196,0.99992,0.54
O94207,0.999869,0.82
O94581,0.754937,1
P00112,0.72111,0.22
P00114,0.796094,0.27
P00118,0.542822,0.27
P00120,0.999277,0.14
P00131,0.987703,0
P00132,0.994175,0
P00164,0.99923,0.69
P03874,0.999409,0.62
P03933,0.72499,1
P05953,0.995266,1
P06809,0.996548,0.99
P06810,0.991377,0.25
P07390,0.99969,0.77
P08064,0.99733,0.81
P08468,0.99973,0.75
P09925,0.990656,0.59
P0A155,0.999956,0.96
P0A156,0.999956,0.96
P0A389,0.999927,0.7
P0A3X9,0.99999,0.29
P0A3Y0,0.796094,0.27
P0A9P5,0.999837,0.83
P0ABL5,0.999464,0.55
P0ABL6,0.999464,0.55
P0ABL7,0.999464,0.55
P0ABM5,0.98199,0.96
P0C180,0.685278,0.35
P0C580,0.996228,0.15
P0C6Q2,0.994192,0.87
P0CP14,0.999839,0.62
P0CP15,0.999839,0.62
P0CT21,0.997957,0.58
P0CW42,0.913933,1
P0CW43,0.783742,0.96
P0DF95,0.999299,0.99
P10662,0.997738,0.67
P13184,0.996847,0.99
P14774,0.999945,0.72
P14905,0.999758,0.97
P15452,0.998773,0
P15585,0.997894,0.14
P17937,0.91453,1
P22364,0.99942,1
P27175,0.998691,0.89
P29899,0.999174,0.45
P31800,0.996116,0.99
P32100,0.958226,1
P32710,0.995799,0.46
P34465,0.99178,0.63
P34959,0.987561,0.96
P37334,0.987402,0.85
P37602,0.957952,0.57
P39479,0.998404,0.99
P41085,0.994087,0.99
P41957,0.99684,1
P42129,0.994159,0.99
P43127,0.994718,0.93
P43788,0.999934,0.64
P44788,0.998967,0.49
P45405,0.998544,0.72
P45650,0.998431,0.97
P45694,0.999963,0.96
P45706,0.995768,0.56
P46445,0.999521,0.32
P46843,0.999628,0.8
P47141,0.9902,0.58
P47612,0.999425,0.48
P52215,0.999994,0.59
P52226,0.999876,0.64
P53700,0.997837,0.56
P53703,0.987626,0.41
P55929,0.999887,0.52
P56431,0.99896,0.49
P57503,0.999728,0.92
P57542,0.990624,1
P58361,0.986125,0.35
P59783,0.998078,0.67
P59809,0.999048,0.52
P59811,0.995385,0.67
P60037,0.999418,0.79
P60040,0.995242,0.98
P60899,0.991386,0.98
P61938,0.999602,0.49
P65624,0.9983,0.67
P65625,0.9983,0.67
P65628,0.985509,0.59
P65629,0.985509,0.59
P65630,0.985509,0.59
P71366,0.981794,0.37
P72943,0.999242,0.57
P72978,0.997076,0.49
P73203,0.992288,1
P73912,0.997028,0.94
P75228,0.999946,0.69
P80549,0.995788,0.32
P80880,0.999983,1
P80904,0.999462,0.71
P80907,0.999989,0.46
P80908,0.999734,0.81
P93236,0.982033,0.53
P93280,0.999711,1
P94464,0.997223,0.23
P97041,0.998727,0.54
P9WN86,0.999864,0.96
P9WP81,0.99547,0.65
P9WPL3,0.998469,0.55
P9WPP6,0.999928,0.2
Q00276,0.641659,1
Q00873,0.998516,0.96
Q02432,0.997404,0.61
Q02A20,0.999529,0.1
Q02DE0,0.960328,0.71
Q03440,0.997765,0.54
Q039U0,0.997617,0.65
Q03D58,0.999063,0.41
Q03EN8,0.998384,0.99
Q03R12,0.999924,0.84
Q042N0,0.999835,0.49
Q04452,0.992915,1
Q04516,0.998002,0.94
Q04648,0.998565,0.49
Q04B89,0.999788,0.5
Q04L36,0.999837,1
Q05741,0.999933,0.73
Q06PW6,0.999836,0.28
Q07204,0.998356,0.92
Q07945,0.856392,0.87
Q080S8,0.999419,1
Q0A8G6,0.999399,0.75
Q0AE56,0.993806,0.68
Q0B385,0.999516,0.16
Q0BI48,0.999854,0.04
Q0BKW5,0.997082,0.25
Q0BU78,0.999841,0.51
Q0CD12,0.994701,0.24
Q0CRD8,0.999814,0.88
Q0CY37,0.988792,0.42
Q0HES2,0.998805,0.15
Q0HMH8,0.999708,0.18
Q0HNH6,0.99864,0.2
Q0HQB2,0.999323,0.2
Q0HRB0,0.999708,0.18
Q0HZ78,0.999731,0.14
Q0P487,0.998765,1
Q0SY48,0.998799,0.94
Q0T014,0.999438,0.35
Q0T1I8,0.999934,0.63
Q0TAB7,0.998799,0.94
Q0TB02,0.9983,0.67
Q0TCH3,0.999566,0.36
Q0TEA2,0.999954,0.63
Q0U9W5,0.997333,0.72
Q0UEY4,0.998968,0.62
Q0VCJ2,0.985416,0.7
Q0VFC7,0.998135,1
Q0WWE3,0.948836,0.97
Q10A77,0.999554,0.64
Q11KP9,0.999413,0.09
Q12FQ6,0.999843,0.1
Q13EM6,0.998412,0.07
Q13SH4,0.992774,1
Q148E1,0.999504,1
Q14IA9,0.996852,0.25
Q14JK8,0.998075,0.94
Q15MS7,0.999521,1
Q167Q3,0.987896,0.88
Q17574,0.959728,0.98
Q189U8,0.998231,0.62
Q1BQP0,0.999749,0.05
Q1BYZ9,0.999851,0.03
Q1C435,0.992604,0.2
Q1CLM4,0.992604,0.2
Q1CLS8,0.999528,0.39
Q1DWN4,0.985985,0.64
Q1DXN1,0.999818,0.6
Q1ECT8,0.999324,0.94
Q1GR67,0.998281,0.07
Q1IRZ2,0.999936,0.07
Q1J7A5,0.999286,0.99
Q1JCG0,0.999325,0.99
Q1JHI4,0.999292,0.99
Q1JMD8,0.998596,0.99
Q1LC96,0.999725,0.25
Q1LH91,0.993656,0.81
Q1LTP1,0.999126,0.34
Q1QS58,0.997391,0.08
Q1R4M9,0.9983,0.67
Q1R644,0.999506,0.36
Q1R7T4,0.999954,0.63
Q1WT71,0.998021,0.56
Q20779,0.999511,0.9
Q24YU1,0.998327,0.1
Q28CZ9,0.999972,0.18
Q2FF36,0.985509,0.59
Q2FG23,0.999456,0.6
Q2FI20,0.914439,0.92
Q2FWG4,0.985509,0.59
Q2FXL1,0.999456,0.6
Q2FZK2,0.914439,0.92
Q2H7U1,0.999684,0.19
Q2IHR0,0.997091,0.43
Q2JBP8,0.999862,0.11
Q2KHV4,0.98765,0.53
Q2KP58,0.986314,1
Q2KTI5,0.982901,0.99
Q2N806,0.998255,0.46
Q2NQQ2,0.926292,0.81
Q2S6M5,0.997154,0.78
Q2SHA6,0.999277,0.17
Q2SZ20,0.999833,0.05
Q2UKB8,0.999694,0.95
Q2Y5A8,0.978043,0.56
Q2YUI9,0.985509,0.59
Q2YX17,0.914439,0.92
Q31U45,0.999151,0.94
Q31UV9,0.9983,0.67
Q31VY8,0.999189,0.35
Q31XM4,0.99996,0.7
Q329B2,0.998297,0.67
Q32CG3,0.999822,0.7
Q38XD3,0.999933,0.63
Q39JF1,0.99897,0.02
Q39PQ8,0.997755,0.81
Q3A5D3,0.998617,0.13
Q3AN75,0.998983,0.13
Q3BVY2,0.999856,0.1
Q3BXK8,0.993603,1
Q3E6R5,0.99651,0.93
Q3IQZ9,0.994849,0.15
Q3J189,0.628557,0.85
Q3JNW6,0.999942,0.05
Q3K0E0,0.99994,0.86
Q3K428,0.894672,0.71
Q3KNK3,0.999953,1
Q3MHW9,0.996811,0.45
Q3SWP3,0.999268,0.09
Q3YV31,0.998261,0.93
Q3YWA8,0.9983,0.67
Q3YWX1,0.999354,0.35
Q3YY94,0.999957,0.63
Q40412,0.995915,0.39
Q46373,0.974939,0.65
Q46578,0.992078,0.69
Q470S7,0.998522,0.08
Q479B7,0.999829,0.09
Q48441,0.991473,1
Q48U81,0.999325,0.99
Q49WI1,0.511967,0.97
Q49YE8,0.999256,0.64
Q49Z38,0.95881,0.68
Q4G0I0,0.999504,0.97
Q4J6G3,0.998778,0.7
Q4JHS0,0.977567,0.73
Q4JIJ2,0.987033,0.61
Q4KD86,0.999899,0.06
Q4L7X2,0.976378,0.65
Q4P914,0.991531,0.23
Q4PGW7,0.997664,0.66
Q4QLL8,0.998722,0.25
Q4UK25,0.979986,1
Q4UKC1,0.996234,0.99
Q4US88,0.999763,0.08
Q4UYN5,0.991992,1
Q4WJW8,0.999879,1
Q4X0B5,0.996592,0.6
Q4X228,0.98604,0.57
Q50227,0.99902,0.46
Q50250,0.995255,0.96
Q502I6,0.999958,0.2
Q51658,0.999945,0.07
Q51662,0.990113,0.86
Q51702,0.999459,1
Q51798,0.999915,0.86
Q51975,0.965868,0.99
Q52527,0.998119,0.4
Q53123,0.921665,0.64
Q53S58,0.999581,0.62
Q54F93,0.999265,0.67
Q54UU8,0.998294,0.63
Q552W5,0.979193,0.87
Q56352,0.999138,0.51
Q56743,0.999722,0.52
Q57HA8,0.999914,0.89
Q57HZ7,0.99716,0.98
Q57J62,0.999753,0.31
Q57KH7,0.999934,0.6
Q58CX2,0.997394,0.9
Q58EK4,0.995722,0.52
Q59579,0.888071,0.98
Q59646,0.998941,0.39
Q59M70,0.997741,0.72
Q5AZB4,0.999619,0.6
Q5BJ68,0.980712,0.87
Q5E4J7,0.998606,0.15
Q5E841,0.999639,0.96
Q5E9H5,0.999469,0.79
Q5EB81,0.998764,0.77
Q5F339,0.979584,0.53
Q5HEA9,0.985509,0.59
Q5HF59,0.999456,0.6
Q5HH26,0.914439,0.92
Q5HNJ0,0.999719,0.57
Q5HRY2,0.999896,0.65
Q5JCY1,0.999884,0.76
Q5KZ91,0.999448,0.15
Q5LLG6,0.993171,0.16
Q5M971,0.929431,1
Q5NI56,0.998075,0.94
Q5NRM1,0.998233,0.99
Q5PEH7,0.999887,0.58
Q5PIT6,0.999517,0.31
Q5PK60,0.999889,0.89
Q5PKU2,0.99716,0.98
Q5PQA4,0.973452,0.82
Q5QXC3,0.981832,0.31
Q5R4W2,0.971672,0.99
Q5R504,0.992843,0.59
Q5R5H4,0.99198,0.52
Q5R7D0,0.999015,0.52
Q5R7J0,0.999973,0.99
Q5RBH2,0.99815,1
Q5RC38,0.993086,1
Q5RFR4,0.999296,0.99
Q5SHD4,0.995622,0.56
Q5SHQ6,0.966601,0.78
Q5SL28,0.997634,0.73
Q5SP67,0.998822,0.85
Q5U2X7,0.968126,0.95
Q5V0S5,0.980925,0.09
Q5WEC6,0.988605,0.85
Q5WU58,0.999185,0.35
Q5X2D9,0.998889,0.44
Q5X8J8,0.996782,0.36
Q5XCT0,0.999574,0.99
Q5YVJ4,0.998609,0.16
Q5ZHX7,0.994153,0.99
Q62H74,0.999953,0.04
Q633E8,0.999569,0.91
Q65G52,0.99463,0.64
Q65RI4,0.99993,0.38
Q65T53,0.999978,0.76
Q66ED4,0.999736,0.39
Q67LP5,0.999328,0.11
Q68FN9,0.99986,0.76
Q68VV5,0.996398,1
Q68XP1,0.990738,0.99
Q69PS6,0.998831,0.61
Q6AY12,0.999939,1
Q6AZR3,0.988479,0.51
Q6BIS1,0.985694,0.8
Q6BPY6,0.998347,0.73
Q6BQ54,0.999689,1
Q6C9G8,0.999688,0.91
Q6CA86,0.999788,0.82
Q6CS27,0.996346,0.61
Q6D000,0.988248,0.97
Q6D1A1,0.999874,0.99
Q6D5X9,0.99971,0.31
Q6DGM2,0.997909,0.65
Q6E7K8,0.999988,0.95
Q6FSJ3,0.999745,1
Q6FUX5,0.999629,0.66
Q6G7M0,0.985509,0.59
Q6G8L2,0.999456,0.6
Q6GAF5,0.914439,0.92
Q6GEY5,0.986526,0.59
Q6GFZ2,0.999164,0.6
Q6GI26,0.915596,0.92
Q6HA24,0.99954,0.88
Q6HCN0,0.999644,0.91
Q6LM58,0.99845,0.63
Q6LW55,0.996169,0.52
Q6LWL8,0.99973,0.44
Q6NQK9,0.989349,0.59
Q6P355,0.977047,0.43
Q6PBU7,0.992223,0.97
Q6ZFU6,0.999721,0.64
Q70JN9,0.990021,0.99
Q71Z75,0.999746,0.48
Q72HP1,0.995622,0.56
Q72VY8,0.998421,0.54
Q72Z85,0.999579,0.9
Q747K6,0.999882,0.59
Q749L1,0.99958,0.34
Q74BE1,0.998879,0.12
Q74K02,0.999875,0.48
Q75AL4,0.998533,0.87
Q75CM8,0.99712,0.75
Q7A184,0.914439,0.92
Q7A6A1,0.914439,0.92
Q7A978,0.998799,0.94
Q7CVH1,0.997974,0.19
Q7M963,0.999638,0.42
Q7MLC1,0.997979,0.2
Q7MLQ2,0.916031,0.73
Q7MTW1,0.999301,0.13
Q7MYI0,0.999286,0.78
Q7N8L6,0.999837,0.98
Q7NGW6,0.997821,0.14
Q7RXL1,0.998816,0.66
Q7S455,0.998621,0.86
Q7S7U5,0.910893,1
Q7SFY2,0.997511,0.97
Q7SGT7,0.955964,1
Q7SGY6,0.999579,1
Q7UBD3,0.999438,0.35
Q7UFZ2,0.976591,0.72
Q7VKC4,0.998488,0.96
Q7VQ46,0.999308,0.41
Q7VQH2,0.998111,0.95
Q7YRK6,0.906232,0.95
Q7Z7K0,0.991942,0.48
Q817B1,0.998011,0.9
Q81JH1,0.748547,0.68
Q82ZW3,0.999739,1
Q83CD9,0.999485,0.61
Q83IT3,0.998799,0.94
Q83MN6,0.974984,0.96
Q83QD9,0.999934,0.63
Q84BZ2,0.944965,0.65
Q85FS2,0.999564,0.28
Q862Z8,0.992283,1
Q863G9,0.992283,1
Q87AR1,0.931036,0.61
Q87C18,0.99894,0.08
Q87I38,0.999237,0.21
Q87J02,0.996896,0.77
Q87KD3,0.915357,0.72
Q87QI7,0.8644,1
Q88RR3,0.999564,0.86
Q88UX4,0.99905,0.99
Q89AA5,0.990787,0.98
Q89BQ0,0.998974,1
Q89WB4,0.99961,0.09
Q8BSN9,0.999907,0.43
Q8BT51,0.991857,0.77
Q8CCM6,0.969857,0.98
Q8CMQ1,0.999866,0.65
Q8CNW7,0.999719,0.57
Q8D8S3,0.917855,0.72
Q8D951,0.995375,0.18
Q8DN93,0.989651,0.87
Q8DNE1,0.97648,0.5
Q8DQ92,0.999837,1
Q8DUR1,0.999768,1
Q8EHI9,0.998083,0.95
Q8EIJ4,0.999761,0.59
Q8EKR0,0.999192,0.86
Q8EVH8,0.998909,0.72
Q8FD12,0.999259,0.36
Q8FEI7,0.999952,0.63
Q8FLS3,0.999351,0.87
Q8FV29,0.994076,0.51
Q8IJS6,0.982916,0.74
Q8J0U0,0.999557,0.47
Q8K995,0.998407,0.64
Q8K9D3,0.999908,0.88
Q8KAS5,0.999846,0.9
Q8KY07,0.999554,0.67
Q8L718,0.999176,0.55
Q8NLK2,0.988103,0.56
Q8NNK3,0.999265,0
Q8NW49,0.999456,0.6
Q8P1G9,0.999574,0.99
Q8P5D7,0.991992,1
Q8PBB7,0.999763,0.08
Q8PPG8,0.993066,1
Q8PU39,0.999912,0.62
Q8R9F0,0.995094,0.8
Q8SQ78,0.992283,1
Q8TSY3,0.999284,0.7
Q8UIB3,0.991546,0.59
Q8VC74,0.999865,0.71
Q8VQF5,0.999862,0.66
Q8X7U1,0.999926,0.65
Q8XEE5,0.999345,0.35
Q8Y6U0,0.999784,0.45
Q8YDA3,0.992262,0.51
Q8YK97,0.997809,0.85
Q8Z1X1,0.999612,0.31
Q8Z2N7,0.997579,0.98
Q8Z303,0.999889,0.89
Q8Z7Q5,0.997182,0.59
Q8ZKY4,0.997334,0.99
Q8ZLM5,0.999736,0.31
Q8ZQ51,0.995385,0.62
Q8ZRF7,0.982021,0.61
Q922E6,0.997408,0.59
Q926Q5,0.998772,0.98
Q92BB6,0.999591,0.43
Q92XG8,0.998262,0.09
Q931P5,0.999323,0.6
Q93HS4,0.997576,0.52
Q93HX6,0.999949,0.32
Q96HP4,0.999003,0.65
Q97CW0,0.997239,0.99
Q97EY4,0.931542,0.7
Q97NP5,0.980321,0.5
Q97RE1,0.999818,1
Q980G6,0.995075,0.66
Q98D88,0.997145,0.59
Q98PK4,0.983588,0.96
Q99JT1,0.99317,0.82
Q99V39,0.914439,0.92
Q9A0D8,0.999197,0.99
Q9ALN8,0.999968,0.39
Q9BRP7,0.993572,0.38
Q9C5E8,0.973904,0.99
Q9CII1,0.998941,0.55
Q9CJ72,0.999785,1
Q9CK41,0.998595,0.7
Q9CQJ1,0.999483,0.5
Q9D7X8,0.997174,0.44
Q9D8M4,0.966607,0.97
Q9DA03,0.999441,0.96
Q9DB73,0.998008,0.92
Q9F1L9,0.999993,0.29
Q9FJ81,0.999704,1
Q9HT06,0.960328,0.67
Q9I3N2,0.999801,0.94
Q9I6Z2,0.999974,0.93
Q9KRF0,0.978545,0.55
Q9KVY4,0.993307,0.99
Q9L7M1,0.999647,0.99
Q9M5P3,0.99191,0.65
Q9P4T7,0.951334,1
Q9P4W1,0.677338,1
Q9RGS4,0.979017,0.83
Q9RPU2,0.994748,0.62
Q9SSB8,0.999933,0.75
Q9SUD3,0.612584,0.72
Q9SUE0,0.999595,0.62
Q9SX77,0.999468,0.54
Q9TLW1,0.999663,0.3
Q9TTT8,0.999051,0.68
Q9UR35,0.995709,0.65
Q9VCI5,0.999711,0.99
Q9W549,0.999737,0.29
Q9XD78,0.973742,0.58
Q9YA13,0.999285,0.45
Q9YEW8,0.999749,0.71
Q9ZCF9,0.99644,1
Q9ZET4,0.942046,1
Q9ZJZ9,0.999615,0.47
Q9ZMS0,0.987809,0.69
Q9ZQS5,0.999969,1
S0DRW4,0.998515,0.67
S0DRW9,0.999879,1
S0DUX2,0.998803,0.53
V4HJ73,0.999664,0.52
W6QIM3,0.999677,0.52
W6QL00,0.998161,1
W7LFK5,0.994723,0.89
W7MT28,0.999255,0.66
W7N293,0.999717,0.54
A0A1N7SYS3,0.999871,0.99
A0A384,0.994943,0.36
A0AK73,0.998428,0.95
A0AL74,0.99408,0.61
A0KBN3,0.94249,0.53
A0KR32,0.986367,0.43
A0LT79,0.9999,0.69
A0LXL9,0.952503,0.65
A0LY71,0.984958,0.79
A0M580,0.994188,1
A0PM83,0.887162,1
A0QKZ4,0.98963,0.99
A0QWH1,0.99972,0.59
A0R951,0.999646,0.47
A0RBT0,0.993409,0.48
A0RKB9,0.996457,0.74
A0T0W1,0.999827,0.45
A0ZZ84,0.9982,0.44
A1AVL8,0.999956,0.67
A1B045,0.996567,0.99
A1B3A6,0.99464,1
A1BHP4,0.999982,0.51
A1BJZ7,0.998972,0.91
A1C9A5,0.99976,0.99
A1CHC5,0.99936,0.67
A1KRZ8,0.999546,0.59
A1QZM8,0.999686,0.83
A1RWR5,0.99951,0.56
A1S1G5,0.99386,0.59
A1TRN6,0.999534,0.69
A1V7D5,0.977276,0.53
A1VQ12,0.997986,0.99
A1XQT2,0.99921,0.97
A2BME0,0.997575,0.71
A2BQQ0,0.998747,0.43
A2BT34,0.99956,1
A2BTH3,0.993123,0.9
A2BYI5,0.999654,1
A2C1K1,0.996957,1
A2C4K5,0.998708,0.5
A2C6W3,0.997619,0.82
A2CAB5,0.99921,0.67
A2RF47,0.999683,0.63
A2RJC6,0.999914,0.76
A2S8D6,0.977276,0.53
A2SFW9,0.999257,0.83
A3CM39,0.986221,0.55
A3DAS8,0.966476,0.65
A3KP77,0.999908,0.64
A3LQD9,0.999888,0.84
A3MS20,0.977276,0.53
A3N477,0.976858,0.52
A3NPX1,0.980377,0.53
A3PEU8,0.999816,1
A3PF82,0.994473,0.84
A4F891,0.999601,0.68
A4GGE5,0.998316,0.45
A4GYW5,0.998498,0.41
A4IHY0,0.998535,0.66
A4IQF5,0.99498,0.78
A4ISE6,0.999118,0.56
A4JJ46,0.975009,0.6
A4JS50,0.999597,0.54
A4QKP4,0.99662,0.41
A4QLF8,0.995743,0.4
A4QLP6,0.997308,0.43
A4SFT9,0.999821,0.66
A4SVT8,0.999885,0.3
A4T0N2,0.996929,1
A4VXW3,0.997323,0.97
A4W460,0.997323,0.97
A4X398,0.998356,0.53
A4Y1A0,0.979652,0.63
A4YER6,0.950405,0.85
A4YXZ8,0.997015,0.97
A5CF57,0.999,0.95
A5CVI2,0.998608,0.73
A5CXM2,0.997222,0.72
A5DY61,0.998262,0.98
A5E7J0,0.994504,0.99
A5EMW5,0.997328,0.98
A5FJT9,0.997176,0.69
A5FYH8,0.999426,0.41
A5GFQ0,0.994043,0.99
A5GLB4,0.997379,0.75
A5GNE2,0.999941,0.79
A5GTF4,0.994727,0.97
A5IVF3,0.996581,0.89
A5PJW2,0.996556,0.98
A5UD72,0.996626,0.64
A5VM22,0.998949,0.69
A5WBB7,0.939657,0.99
A6H064,0.999817,1
A6L5L6,0.999845,1
A6L9D2,0.997838,0.94
A6MMH8,0.97872,0.33
A6MMZ4,0.997817,0.45
A6QJL4,0.996581,0.89
A6R620,0.999814,0.68
A6S5Q0,0.994148,0.97
A6U499,0.996581,0.89
A6URY5,0.595572,0.55
A6UWS1,0.971408,0.77
A6VR61,0.998287,0.95
A6WUK4,0.966476,0.65
A6ZM32,0.999818,0.95
A7GKN4,0.999658,0.48
A7GUD5,0.998543,0.68
A7HW48,0.993903,0.99
A7I5N7,0.996601,0.96
A7M9A9,0.999151,0.42
A7N0X9,0.999295,0.99
A7N9L6,0.998553,0.94
A7TQM5,0.997203,1
A7X5Z9,0.996581,0.89
A7Z171,0.987876,0.56
A7Z8C1,0.996884,0.96
A7ZPY2,0.998808,0.63
A8A345,0.998999,0.64
A8AA47,0.997445,0.58
A8ABZ9,0.996573,0.9
A8AXQ6,0.991225,0.55
A8EYV4,0.999812,0.93
A8F0F4,0.999369,0.6
A8F1N2,0.99969,0.8
A8FH11,0.989332,0.86
A8G2Z0,0.981248,0.99
A8G797,0.989729,0.94
A8GLY9,0.998813,0.61
A8GNK2,0.999505,0.64
A8GQK8,0.999012,0.62
A8GS72,0.999692,0.92
A8GUC7,0.995452,0.77
A8GW75,0.999491,0.93
A8HAI0,0.911161,1
A8IAP5,0.993955,0.82
A8M2W8,0.999543,1
A8MDN0,0.999807,0.9
A8NVB7,0.965779,0.8
A8P006,0.998862,0.86
A8SEF3,0.998683,0.47
A8W3G6,0.999851,0.44
A8WJ42,0.999609,0.93
A8YTT2,0.998101,0.92
A8Z563,0.996581,0.89
A9ACA0,0.994555,0.49
A9BRW9,0.992723,1
A9C3H6,0.997159,0.56
A9H9C9,0.991485,0.55
A9IJB7,0.992576,1
A9KBT1,0.999039,0.85
A9KJH6,0.949291,0.99
A9KX20,0.980809,0.65
A9L9E6,0.997122,0.41
A9M152,0.99801,0.59
A9MND4,0.96861,0.51
A9NBA5,0.998431,0.97
A9NFF6,0.99958,0.69
A9QCA0,0.999465,0.39
A9UWF0,0.998322,0.6
A9VMZ3,0.998912,0.74
A9VRK8,0.999759,0.51
B0B830,0.969288,1
B0BC95,0.969288,1
B0BVZ4,0.99895,0.62
B0BXN8,0.999776,0.93
B0KRC1,0.950333,0.98
B0R677,0.988653,0.99
